_url,_position,image,image/_title,image/_alt,image/_source,description,price,link,link/_title,link/_text,link/_source
"http://www.asos.com/au/Women/Lingerie-Nightwear/Cat/pgecategory.aspx?cid=6046","2","http://images.asos-media.com/inv/media/8/3/0/9/6089038/nude/image1xl.jpg","","ASOS Blake Eyelash Lace Strappy Triangle Bra","","ASOS Blake Eyelash Lace Strappy Triangle Bra","$38.00","http://www.asos.com/au/ASOS/ASOS-Blake-Eyelash-Lace-Strappy-Triangle-Bra/Prod/pgeproduct.aspx?iid=6089038&cid=6046&sh=0&pge=0&pgesize=36&sort=-1&clr=Nude&totalstyles=1423&gridsize=3","","ASOS Blake Eyelash Lace Strappy Triangle Bra",""
"http://www.asos.com/au/Men/Vests/Cat/pgecategory.aspx?cid=9178","7","http://images.asos-media.com/inv/media/0/3/4/1/5881430/green/image1xl.jpg","","ASOS Super Longline Sleeveless T-Shirt In Neppy Fabric With Hem Extender","","ASOS Super Longline Sleeveless T-Shirt In Neppy Fabric With Hem Extender","$34.00","http://www.asos.com/au/ASOS/ASOS-Super-Longline-Sleeveless-T-Shirt-In-Neppy-Fabric-With-Hem-Extender/Prod/pgeproduct.aspx?iid=5881430&cid=9178&sh=0&pge=0&pgesize=36&sort=-1&clr=Green&totalstyles=143&gridsize=3","","ASOS Super Longline Sleeveless T-Shirt In Neppy Fabric With Hem Extender",""
"http://www.asos.com/au/Men/Jewellery/Cat/pgecategory.aspx?cid=11330","28","http://images.asos-media.com/inv/media/9/9/8/7/5577899/black/image1xl.jpg","","ASOS Semi Precious Rock Necklace In Black","","ASOS Semi Precious Rock Necklace In Black","$17.00","http://www.asos.com/au/ASOS/ASOS-Semi-Precious-Rock-Necklace-In-Black/Prod/pgeproduct.aspx?iid=5577899&cid=11330&sh=0&pge=0&pgesize=36&sort=-1&clr=Black&totalstyles=678&gridsize=3","","ASOS Semi Precious Rock Necklace In Black",""
"http://www.asos.com/au/men/sunglasses/cat/pgecategory.aspx?cid=6519","2","http://images.asos-media.com/inv/media/0/8/4/4/5794480/burgundy/image1xl.jpg","","ASOS Round Sunglasses In Burgundy","","ASOS Round Sunglasses In Burgundy","$17.00","http://www.asos.com/au/ASOS/ASOS-Round-Sunglasses-In-Burgundy/Prod/pgeproduct.aspx?iid=5794480&cid=6519&sh=0&pge=0&pgesize=36&sort=-1&clr=Burgundy&totalstyles=281&gridsize=3","","ASOS Round Sunglasses In Burgundy",""
"http://www.asos.com/au/men/jackets-coats/cat/pgecategory.aspx?cid=3606","34","http://images.asos-media.com/inv/media/7/9/2/3/5823297/khaki/image1xl.jpg","","ASOS Coach Jacket With Contrast Lining In Khaki","","ASOS Coach Jacket With Contrast Lining In Khaki","$81.00","http://www.asos.com/au/ASOS/ASOS-Coach-Jacket-With-Contrast-Lining-In-Khaki/Prod/pgeproduct.aspx?iid=5823297&cid=3606&sh=0&pge=0&pgesize=36&sort=-1&clr=Khaki&totalstyles=853&gridsize=3","","ASOS Coach Jacket With Contrast Lining In Khaki",""
"http://www.asos.com/au/Men/Trousers-Chinos/Sweat-Pants/Cat/pgecategory.aspx?cid=14274","17","http://images.asos-media.com/inv/media/2/9/6/0/6140692/seaspray/image1xl.jpg","","ASOS Skinny Joggers In Lightweight In Light Khaki","","ASOS Skinny Joggers In Lightweight In Light Khaki","$34.00","http://www.asos.com/au/ASOS/ASOS-Skinny-Joggers-In-Lightweight-In-Light-Khaki/Prod/pgeproduct.aspx?iid=6140692&cid=14274&sh=0&pge=0&pgesize=36&sort=-1&clr=Sea+spray&totalstyles=246&gridsize=3","","ASOS Skinny Joggers In Lightweight In Light Khaki",""
"http://www.asos.com/au/Men/Accessories/Caps-Hats/Cat/pgecategory.aspx?cid=6517","14","http://images.asos-media.com/inv/media/3/6/1/2/6232163/black/image1xl.jpg","","adidas Originals Bucket Hat","","adidas Originals Bucket Hat","$41.00","http://www.asos.com/au/adidas-Originals/adidas-Originals-Bucket-Hat/Prod/pgeproduct.aspx?iid=6232163&cid=6517&sh=0&pge=0&pgesize=36&sort=-1&clr=Black&totalstyles=230&gridsize=3","","adidas Originals Bucket Hat",""
"http://www.asos.com/au/Women/Multi-Packs-Save/Cat/pgecategory.aspx?cid=19224","30","http://images.asos-media.com/inv/media/0/1/7/3/6033710/antiquegold/image1xl.jpg","","Luv AJ Gold Pandura Multi Hoop Earrings","","Luv AJ Gold Pandura Multi Hoop Earrings","$95.00","http://www.asos.com/au/Luv-AJ/Luv-AJ-Gold-Pandura-Multi-Hoop-Earrings/Prod/pgeproduct.aspx?iid=6033710&cid=19224&sh=0&pge=0&pgesize=36&sort=-1&clr=Antique+gold&totalstyles=218&gridsize=3","","Luv AJ Gold Pandura Multi Hoop Earrings",""
"http://www.asos.com/au/Women/A-To-Z-Of-Brands/Dune/Cat/pgecategory.aspx?cid=6433","9","http://images.asos-media.com/inv/media/5/7/3/1/5831375/tan/image1xl.jpg","","Dune Dawnn Handbag with Metal Triangle Detail","","Dune Dawnn Handbag with Metal Triangle Detail","$125.00","http://www.asos.com/au/Dune/Dune-Dawnn-Handbag-with-Metal-Triangle-Detail/Prod/pgeproduct.aspx?iid=5831375&cid=6433&sh=0&pge=0&pgesize=36&sort=-1&clr=Tan&totalstyles=100&gridsize=3","","Dune Dawnn Handbag with Metal Triangle Detail",""
"http://www.asos.com/au/Women/Jeans/Cat/pgecategory.aspx?cid=3630","29","http://images.asos-media.com/inv/media/9/0/0/1/5841009/lightwashblue/image1xl.jpg","","ASOS Rivington Jeggings in Wethered Light Blue","","ASOS Rivington Jeggings in Wethered Light Blue","$55.00","http://www.asos.com/au/ASOS/ASOS-Rivington-Jeggings-in-Wethered-Light-Blue/Prod/pgeproduct.aspx?iid=5841009&cid=3630&sh=0&pge=0&pgesize=36&sort=-1&clr=Lightwash+blue&totalstyles=531&gridsize=3","","ASOS Rivington Jeggings in Wethered Light Blue",""
